Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,2,0.01,0.01,0.3553016413286136
75% Corpus,2,0.01,0.31,0.3818249308717082
75% Corpus,2,0.01,0.61,0.3717782056669804
75% Corpus,2,0.01,0.9099999999999999,0.3717782056669804
75% Corpus,2,0.01,symmetric,0.3805593215666222
75% Corpus,2,0.31,0.01,0.3690209344794036
75% Corpus,2,0.31,0.31,0.3626373993935909
75% Corpus,2,0.31,0.61,0.3707587078053166
75% Corpus,2,0.31,0.9099999999999999,0.3791652797426832
75% Corpus,2,0.31,symmetric,0.3805593215666222
75% Corpus,2,0.61,0.01,0.3743203316326261
75% Corpus,2,0.61,0.31,0.357737729757023
75% Corpus,2,0.61,0.61,0.3707587078053166
75% Corpus,2,0.61,0.9099999999999999,0.3680990566762916
75% Corpus,2,0.61,symmetric,0.3805593215666222
75% Corpus,2,0.9099999999999999,0.01,0.3743203316326261
75% Corpus,2,0.9099999999999999,0.31,0.3528817744167121
75% Corpus,2,0.9099999999999999,0.61,0.3707587078053166
75% Corpus,2,0.9099999999999999,0.9099999999999999,0.3680990566762916
75% Corpus,2,0.9099999999999999,symmetric,0.3805593215666222
75% Corpus,2,symmetric,0.01,0.3690209344794036
75% Corpus,2,symmetric,0.31,0.357737729757023
75% Corpus,2,symmetric,0.61,0.3707587078053166
75% Corpus,2,symmetric,0.9099999999999999,0.3680990566762916
75% Corpus,2,symmetric,symmetric,0.3707587078053166
75% Corpus,2,asymmetric,0.01,0.3690209344794036
75% Corpus,2,asymmetric,0.31,0.3818249308717082
75% Corpus,2,asymmetric,0.61,0.3707587078053166
75% Corpus,2,asymmetric,0.9099999999999999,0.3707587078053166
75% Corpus,2,asymmetric,symmetric,0.357737729757023
75% Corpus,3,0.01,0.01,0.3782178732317198
75% Corpus,3,0.01,0.31,0.386294888203343
75% Corpus,3,0.01,0.61,0.3886677762490575
75% Corpus,3,0.01,0.9099999999999999,0.3889490993345791
75% Corpus,3,0.01,symmetric,0.386294888203343
75% Corpus,3,0.31,0.01,0.3858665965677327
75% Corpus,3,0.31,0.31,0.3869202407484642
75% Corpus,3,0.31,0.61,0.389631476873361
75% Corpus,3,0.31,0.9099999999999999,0.3830868243096186
75% Corpus,3,0.31,symmetric,0.3831888094060844
75% Corpus,3,0.61,0.01,0.3858665965677326
75% Corpus,3,0.61,0.31,0.3932845460917364
75% Corpus,3,0.61,0.61,0.3932845460917365
75% Corpus,3,0.61,0.9099999999999999,0.389631476873361
75% Corpus,3,0.61,symmetric,0.3932845460917364
75% Corpus,3,0.9099999999999999,0.01,0.392230901911005
75% Corpus,3,0.9099999999999999,0.31,0.3932845460917364
75% Corpus,3,0.9099999999999999,0.61,0.3932845460917365
75% Corpus,3,0.9099999999999999,0.9099999999999999,0.4114963474748834
75% Corpus,3,0.9099999999999999,symmetric,0.3932845460917365
75% Corpus,3,symmetric,0.01,0.3858665965677327
75% Corpus,3,symmetric,0.31,0.3808942834843742
75% Corpus,3,symmetric,0.61,0.389631476873361
75% Corpus,3,symmetric,0.9099999999999999,0.3831888094060844
75% Corpus,3,symmetric,symmetric,0.3808942834843742
75% Corpus,3,asymmetric,0.01,0.38101407732788
75% Corpus,3,asymmetric,0.31,0.3869202407484642
75% Corpus,3,asymmetric,0.61,0.3808942834843742
75% Corpus,3,asymmetric,0.9099999999999999,0.3808159213603699
75% Corpus,3,asymmetric,symmetric,0.3869202407484642
75% Corpus,4,0.01,0.01,0.3957980511610983
75% Corpus,4,0.01,0.31,0.3626908973666333
75% Corpus,4,0.01,0.61,0.3619177938233207
75% Corpus,4,0.01,0.9099999999999999,0.3544056566731853
75% Corpus,4,0.01,symmetric,0.39271844444489
75% Corpus,4,0.31,0.01,0.3801559827820767
75% Corpus,4,0.31,0.31,0.3733263407843552
75% Corpus,4,0.31,0.61,0.3681769790410872
75% Corpus,4,0.31,0.9099999999999999,0.3544056566731853
75% Corpus,4,0.31,symmetric,0.3876699372194871
75% Corpus,4,0.61,0.01,0.385016809642966
75% Corpus,4,0.61,0.31,0.3976773425398336
75% Corpus,4,0.61,0.61,0.35626597638111
75% Corpus,4,0.61,0.9099999999999999,0.3782289264137791
75% Corpus,4,0.61,symmetric,0.3982701207582161
75% Corpus,4,0.9099999999999999,0.01,0.3976135563484765
75% Corpus,4,0.9099999999999999,0.31,0.4071280826631871
75% Corpus,4,0.9099999999999999,0.61,0.3878524444533607
75% Corpus,4,0.9099999999999999,0.9099999999999999,0.3923388970119846
75% Corpus,4,0.9099999999999999,symmetric,0.4042145108212425
75% Corpus,4,symmetric,0.01,0.3801559827820767
75% Corpus,4,symmetric,0.31,0.3721404261260365
75% Corpus,4,symmetric,0.61,0.36323442919138
75% Corpus,4,symmetric,0.9099999999999999,0.3533976920587725
75% Corpus,4,symmetric,symmetric,0.3851781324350982
75% Corpus,4,asymmetric,0.01,0.3780331313428333
75% Corpus,4,asymmetric,0.31,0.3852359570231795
75% Corpus,4,asymmetric,0.61,0.3769547225779773
75% Corpus,4,asymmetric,0.9099999999999999,0.3841772267488369
75% Corpus,4,asymmetric,symmetric,0.3897160113352798
75% Corpus,5,0.01,0.01,0.3699477589529479
75% Corpus,5,0.01,0.31,0.3336163753190462
75% Corpus,5,0.01,0.61,0.3438194429022526
75% Corpus,5,0.01,0.9099999999999999,0.3937207413124981
75% Corpus,5,0.01,symmetric,0.3522642151509736
75% Corpus,5,0.31,0.01,0.3811484071862813
75% Corpus,5,0.31,0.31,0.3417188642252584
75% Corpus,5,0.31,0.61,0.3340050214296636
75% Corpus,5,0.31,0.9099999999999999,0.3748144263969042
75% Corpus,5,0.31,symmetric,0.3500999696067354
75% Corpus,5,0.61,0.01,0.3783823376723669
75% Corpus,5,0.61,0.31,0.3669862085073678
75% Corpus,5,0.61,0.61,0.3466039193117919
75% Corpus,5,0.61,0.9099999999999999,0.4629279223088672
75% Corpus,5,0.61,symmetric,0.3627635443649656
75% Corpus,5,0.9099999999999999,0.01,0.3679443244079788
75% Corpus,5,0.9099999999999999,0.31,0.3675057373939672
75% Corpus,5,0.9099999999999999,0.61,0.3350293952947129
75% Corpus,5,0.9099999999999999,0.9099999999999999,0.4481184190306111
75% Corpus,5,0.9099999999999999,symmetric,0.3737067298721496
75% Corpus,5,symmetric,0.01,0.3581149479733114
75% Corpus,5,symmetric,0.31,0.3500504954733583
75% Corpus,5,symmetric,0.61,0.3407676407936046
75% Corpus,5,symmetric,0.9099999999999999,0.3942983182356067
75% Corpus,5,symmetric,symmetric,0.3514436873340048
75% Corpus,5,asymmetric,0.01,0.3635815035286021
75% Corpus,5,asymmetric,0.31,0.3506763244011383
75% Corpus,5,asymmetric,0.61,0.3447326910520075
75% Corpus,5,asymmetric,0.9099999999999999,0.3962008173028504
75% Corpus,5,asymmetric,symmetric,0.3602824616737359
75% Corpus,6,0.01,0.01,0.3736276398140015
75% Corpus,6,0.01,0.31,0.3767394297817912
75% Corpus,6,0.01,0.61,0.402633644567663
75% Corpus,6,0.01,0.9099999999999999,0.4311383118904626
75% Corpus,6,0.01,symmetric,0.3664493336202232
75% Corpus,6,0.31,0.01,0.3994318086415336
75% Corpus,6,0.31,0.31,0.3697861417447787
75% Corpus,6,0.31,0.61,0.4065137155704788
75% Corpus,6,0.31,0.9099999999999999,0.4655806606291126
75% Corpus,6,0.31,symmetric,0.36544838114192
75% Corpus,6,0.61,0.01,0.3945168867927526
75% Corpus,6,0.61,0.31,0.3870645285039435
75% Corpus,6,0.61,0.61,0.4122669783806822
75% Corpus,6,0.61,0.9099999999999999,0.4964771261084817
75% Corpus,6,0.61,symmetric,0.382482293248749
75% Corpus,6,0.9099999999999999,0.01,0.3972036845603772
75% Corpus,6,0.9099999999999999,0.31,0.3681756158188112
75% Corpus,6,0.9099999999999999,0.61,0.4216300250309513
75% Corpus,6,0.9099999999999999,0.9099999999999999,0.4495873991544174
