Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,5,0.01,0.01,0.4332637275280839
75% Corpus,5,0.01,0.31,0.43667300019359495
75% Corpus,5,0.01,0.61,0.43731376710891884
75% Corpus,5,0.01,0.9099999999999999,0.4455567707376008
75% Corpus,5,0.01,symmetric,0.43667300019359506
75% Corpus,5,0.31,0.01,0.390786618843417
75% Corpus,5,0.31,0.31,0.39222445815550555
75% Corpus,5,0.31,0.61,0.3964785627809001
75% Corpus,5,0.31,0.9099999999999999,0.391629411092205
75% Corpus,5,0.31,symmetric,0.39222445815550555
75% Corpus,5,0.61,0.01,0.40907472820362684
75% Corpus,5,0.61,0.31,0.4449710078842477
75% Corpus,5,0.61,0.61,0.4449710078842477
75% Corpus,5,0.61,0.9099999999999999,0.44417913923421803
75% Corpus,5,0.61,symmetric,0.4426427913975431
75% Corpus,5,0.9099999999999999,0.01,0.4027076297872621
75% Corpus,5,0.9099999999999999,0.31,0.402707629787262
75% Corpus,5,0.9099999999999999,0.61,0.4019568360165053
75% Corpus,5,0.9099999999999999,0.9099999999999999,0.4019568360165053
75% Corpus,5,0.9099999999999999,symmetric,0.402707629787262
75% Corpus,5,symmetric,0.01,0.38458300932419476
75% Corpus,5,symmetric,0.31,0.3781384575397851
75% Corpus,5,symmetric,0.61,0.39046240510147834
75% Corpus,5,symmetric,0.9099999999999999,0.40318614127946056
75% Corpus,5,symmetric,symmetric,0.38917699850581833
75% Corpus,5,asymmetric,0.01,0.3974659343808139
75% Corpus,5,asymmetric,0.31,0.42914852748274246
75% Corpus,5,asymmetric,0.61,0.4337649380637295
75% Corpus,5,asymmetric,0.9099999999999999,0.43534354878931614
75% Corpus,5,asymmetric,symmetric,0.4089735842389476
75% Corpus,6,0.01,0.01,0.43841187890301153
75% Corpus,6,0.01,0.31,0.44540059135806925
75% Corpus,6,0.01,0.61,0.4422950491220876
75% Corpus,6,0.01,0.9099999999999999,0.44161708441044195
75% Corpus,6,0.01,symmetric,0.44292158755475514
75% Corpus,6,0.31,0.01,0.4464338941455712
75% Corpus,6,0.31,0.31,0.4317580500663887
75% Corpus,6,0.31,0.61,0.42906079046291534
75% Corpus,6,0.31,0.9099999999999999,0.43392273198721076
75% Corpus,6,0.31,symmetric,0.44725222518698454
75% Corpus,6,0.61,0.01,0.4249609847908007
75% Corpus,6,0.61,0.31,0.42862402274570605
75% Corpus,6,0.61,0.61,0.43417439407230435
75% Corpus,6,0.61,0.9099999999999999,0.4348775727210123
75% Corpus,6,0.61,symmetric,0.42862402274570605
75% Corpus,6,0.9099999999999999,0.01,0.42281671378884367
75% Corpus,6,0.9099999999999999,0.31,0.41956258794645823
75% Corpus,6,0.9099999999999999,0.61,0.420563530903042
75% Corpus,6,0.9099999999999999,0.9099999999999999,0.4153187958823727
75% Corpus,6,0.9099999999999999,symmetric,0.42533607293722636
75% Corpus,6,symmetric,0.01,0.42761536462831323
75% Corpus,6,symmetric,0.31,0.4385386383897862
75% Corpus,6,symmetric,0.61,0.43423876839838044
75% Corpus,6,symmetric,0.9099999999999999,0.43821956659989875
75% Corpus,6,symmetric,symmetric,0.4373353687592518
75% Corpus,6,asymmetric,0.01,0.4120974288427115
75% Corpus,6,asymmetric,0.31,0.4059361748590773
75% Corpus,6,asymmetric,0.61,0.4048231217206923
75% Corpus,6,asymmetric,0.9099999999999999,0.4087302079668998
75% Corpus,6,asymmetric,symmetric,0.4061535938083254
75% Corpus,7,0.01,0.01,0.4529574278948659
75% Corpus,7,0.01,0.31,0.45996488033332383
75% Corpus,7,0.01,0.61,0.44381397799740113
75% Corpus,7,0.01,0.9099999999999999,0.4430476910844656
75% Corpus,7,0.01,symmetric,0.4523139541444157
75% Corpus,7,0.31,0.01,0.4491748563599173
75% Corpus,7,0.31,0.31,0.43916446662030445
75% Corpus,7,0.31,0.61,0.45118762915430827
75% Corpus,7,0.31,0.9099999999999999,0.4446979050652707
75% Corpus,7,0.31,symmetric,0.4559861204843469
75% Corpus,7,0.61,0.01,0.44227943687975074
75% Corpus,7,0.61,0.31,0.42595635654730196
75% Corpus,7,0.61,0.61,0.43031501830243474
