filenameΓtextΓdateΓlemmaΓclean_lem
C:\3\DOUTORADO\NATUREZAS\1\3. NOTÍCIAS INSTITUCIONAIS\prefeitura\fazenda\2013-02-08-42-416.txtΓ"








       Ganhadores do 17º sorteio da Nota Fiscal Paulistana recebem prêmio da Prefeitura de São Paulo  Na edição especial de Aniversário da Cidade, além dos três prêmios de maior valor, de R$ 100 mil, R$ 40 mil e R$ 20 mil, foram distribuídos 50 prêmios no valor de R$ 1 mil, 500 de R$ 100, 5 mil de R$ 20 e 132 mil de R$ 10.    8/02/2013  O Secretário de Finanças e Desenvolvimento Econômico de São Paulo, Marcos de Barros Cruz, entregou na manhã desta quinta-feira, 07 de fevereiro, três cheques simbólicos para os ganhadores dos principais prêmios da 17° edição do sorteio da Nota Fiscal Paulistana, durante cerimônia no Edifício Matarazzo, sede da administração municipal, região central da capital. Sergio Kenji Hidani recebeu o primeiro prêmio, no valor de R$ 100 mil. Silvia Maria Pimenta Magalhães Bonfiglioli recebeu o segundo cheque, equivalente a R$ 40 mil, e Fabiano Kazuyoshi Takemiya Tiba, ganhador do terceiro prêmio, recebeu a quantia de R$ 20 mil. Até hoje, o Sorteio da Nota Fiscal Paulistana já distribuiu mais de R$ 27 milhões em prêmios para 2,3 milhões de bilhetes premiados, e teve ganhadores de Santos, Rio de Janeiro, Brasília, São Caetano do Sul, Guarulhos, Taboão da Serra, entre outros. 
Segundo Marcos Cruz, o Programa é reconhecidamente exitoso e será mantido pela atual administração. “(O Programa) É um estímulo aos cidadãos para que solicitem o documento fiscal quando contratarem qualquer serviço na Cidade de São Paulo. As pessoas que pedem a nota fiscal são beneficiadas, pois recebem créditos que se transformam em dinheiro e ainda concorrem a prêmios”, afirmou o gestor da pasta. O sorteio que teve início em setembro de 2011, mostra neste ano um crescimento de 332% em relação ao número de participantes, passando de 76 mil no primeiro prêmio, para mais de 253 mil pessoas concorrendo. Dentre os serviços que mais geraram documentos fiscais destacam-se os de estacionamento, ensino regular, cobrança, treinamento, academia, cartório e cabeleireiro. 
Ao contratar qualquer serviço na cidade de São Paulo, o cidadão que participa do programa Nota Fiscal Paulistana recebe de volta até 30% do Imposto Sobre Serviço (ISS) pago pelo prestador do serviço, e pode abater até 100% do IPTU ou ter o valor depositado em conta-corrente ou poupança, além de participar dos sorteios. A iniciativa surgiu do aprimoramento do programa Nota Fiscal Eletrônica, lançado em agosto de 2006, que permitia o abatimento apenas de 50% do IPTU. 
Para participar dos sorteios de prêmios mensais do Programa Nota Fiscal Paulistana basta acessar o sistema  e aderir ao regulamento. A cada mês, a pessoa que contratar serviços de qualquer valor e solicitar o documento fiscal ganha um bilhete eletrônico, e ganha, ainda, bilhetes adicionais a cada R$ 50,00 de notas fiscais de serviços utilizados. Para conferir os bilhetes premiados, basta que o participante faça o login no sistema e acesse sua página personalizada:   
Veja exemplos de prestadores de serviços que podem gerar créditos para a Nota Fiscal Paulistana: • Academias de ginástica, de dança, esportes etc.; • Escolas particulares (da pré-escola ao superior); • Autoescola e motoescola; • Organização de festas, recepções e serviços de bufê; • Agências de viagens; • Barbearias e cabeleireiros; • Estacionamento de veículos e serviço de valet; • Hotéis, apart-hotéis, flats, motéis e congêneres; •Conserto, lubrificação, limpeza e manutenção de veículos; • Hospitais, clínicas e laboratórios; • Corretagem ou intermediação de bens móveis e imóveis; • Tinturaria e lavanderia;
"Γ8/02/2013Γganhador de o 17º sorteio de o Nota Fiscal Paulistana receber prêmio de o prefeitura de São Paulo em o edição especial de Aniversário de o Cidade , além de o três prêmio de grande valor , de R$ 100 mil , R$ 40 mil e R$ 20 mil , ser distribuir 50 prêmio em o valor de R$ 1 mil , 500 de R$ 100 , 5 mil de R$ 20 e 132 mil de R$ 10. 8/02/2013 o Secretário de Finanças e Desenvolvimento Econômico de São Paulo , Marcos de Barros Cruz , entregar em o manhã de este quinta-feira , 07 de fevereiro , três cheques simbólico para o ganhador de o principal prêmio de o 17° edição de o sorteio de o Nota Fiscal Paulistana , durante cerimônia em o Edifício Matarazzo , sede de o administração municipal , região central de o capital . Sergio Kenji Hidani receber o primeiro prêmio , em o valor de R$ 100 mil . Silvia Maria Pimenta Magalhães Bonfiglioli receber o segundo cheque , equivalente a R$ 40 mil , e Fabiano Kazuyoshi Takemiya Tiba , ganhador de o terceiro prêmio , receber o quantia de R$ 20 mil . até hoje , o sorteio de o Nota Fiscal Paulistana já distribuir mais de R$ 27 milhão em prêmio para 2,3 milhão de bilhete premiar , e ter ganhador de Santos , Rio de Janeiro , Brasília , São Caetano de o Sul , Guarulhos , Taboão de o Serra , entre outro . segundo Marcos Cruz , o Programa ser reconhecidamente exitoso e ser manter por o atual administração . “ ( o Programa ) ser um estímulo a o cidadão para que solicitar o documento fiscal quando contratar qualquer serviço em o Cidade de São Paulo . o pessoa que pedir o nota fiscal ser beneficiar , pois receber crédito que se transformar em dinheiro e ainda concorrer a prêmio ” , afirmar o gestor de o pasta . o sorteio que ter início em setembro de 2011 , mostrar em este ano um crescimento de 332 % em relação a o número de participante , passar de 76 mil em o primeiro prêmio , para mais de 253 mil pessoa concorrer . dentre o serviço que mais gerar documento fiscal destacar se o de estacionamento , ensino regular , cobrança , treinamento , academia , cartório e cabeleireiro . a o contratar qualquer serviço em o cidade de São Paulo , o cidadão que participar de o programa Nota Fiscal Paulistana receber de volta até 30 % de o Imposto sobre Serviço ( iss ) pagar por o prestador de o serviço , e poder abater até 100 % de o IPTU ou ter o valor depositar em conta-corrente ou poupança , além de participar de o sorteio . o iniciativa surgir de o aprimoramento de o programa Nota Fiscal Eletrônica , lançar em agosto de 2006 , que permitir o abatimento apenas de 50 % de o IPTU . para participar de o sorteio de prêmio mensal de o Programa Nota Fiscal Paulistana bastar acessar o sistema e aderir a o regulamento . a cada mês , o pessoa que contratar serviço de qualquer valor e solicitar o documento fiscal ganhar um bilhete eletrônico , e ganhar , ainda , bilhete adicional a cada R$ 50,00 de nota fiscal de serviço utilizar . para conferir o bilhete premiar , bastar que o participante fazer o login em o sistema e acessar seu página personalizar : ver exemplo de prestador de serviço que poder gerar crédito para o Nota Fiscal Paulistana : • Academias de ginástica , de dança , esporte etc. ; • escola particular ( de o pré-escola a o alto ) ; • autoescola e motoescola ; • Organização de festa , recepção e serviço de bufê ; • Agências de viagem ; • barbearia e cabeleireiro ; • estacionamento de veículo e serviço de valet ; • hotel , apart-hotel , flat , motel e congêner ; • conserto , lubrificação , limpeza e manutenção de veículo ; • hospital , clínica e laboratório ; • corretagem ou intermediação de bem móvel e imóvel ; • tinturaria e lavanderia ;Γ"ganhador sorteio nota fiscal paulistana receber premio edicao especial aniversario alem tres premio grande valor r mil r mil r mil ser distribuir premio valor r mil r mil r mil r secretario financas desenvolvimento economico marcos barros cruz entregar manha fevereiro tres cheques simbolico ganhador principal premio deg edicao sorteio nota fiscal paulistana durante cerimonia edificio matarazzo sede administracao municipal regiao central capital sergio kenji hidani receber primeiro premio valor r mil silvia maria pimenta magalhaes bonfiglioli receber segundo cheque equivalente r mil fabiano kazuyoshi takemiya tiba ganhador terceiro premio receber quantia r mil ate hoje sorteio nota fiscal paulistana ja distribuir r milhao premio milhao bilhete premiar ter ganhador santos rio janeiro brasilia caetano sul guarulhos taboao serra outro segundo marcos cruz programa ser reconhecidamente exitoso ser manter atual administracao "" programa ser estimulo cidadao solicitar documento fiscal contratar qualquer servico pessoa pedir nota fiscal ser beneficiar pois receber credito transformar dinheiro ainda concorrer premio "" afirmar gestor pasta sorteio ter inicio setembro mostrar ano crescimento relacao numero participante passar mil primeiro premio mil pessoa concorrer dentre servico gerar documento fiscal destacar estacionamento ensino regular cobranca treinamento academia cartorio cabeleireiro contratar qualquer servico cidadao participar programa nota fiscal paulistana receber volta ate imposto sobre servico iss pagar prestador servico poder abater ate iptu ter valor depositar conta corrente poupanca alem participar sorteio iniciativa surgir aprimoramento programa nota fiscal eletronica lancar agosto permitir abatimento apenas iptu participar sorteio premio mensal programa nota fiscal paulistana bastar acessar sistema aderir regulamento cada mes pessoa contratar servico qualquer valor solicitar documento fiscal ganhar bilhete eletronico ganhar ainda bilhete adicional cada r nota fiscal servico utilizar conferir bilhete premiar bastar participante fazer login sistema acessar pagina personalizar ver exemplo prestador servico poder gerar credito nota fiscal paulistana * academias ginastica danca esporte etc * escola particular pre escola alto * autoescola motoescola * organizacao festa recepcao servico bufe * agencias viagem * barbearia cabeleireiro * estacionamento veiculo servico valet * hotel apart hotel flat motel congener * conserto lubrificacao limpeza manutencao veiculo * hospital clinica laboratorio * corretagem intermediacao bem movel imovel * tinturaria lavanderia"
C:\3\DOUTORADO\NATUREZAS\1\3. NOTÍCIAS INSTITUCIONAIS\prefeitura\fazenda\2013-04-30-42-415.txtΓ"








   São Paulo recebe quarta reunião do Comitê Gestor da Rede PNAFM  A cidade de São Paulo recebeu nos dias 09 e 10 de maio a quarta reunião do Comitê Gestor da Rede PNAFM (COGEP).    0/05/2013 
"Γ0/05/2013ΓSão Paulo receber quarto reunião de o comitê gestor de o Rede PNAFM o cidade de São Paulo receber em o dia 09 e 10 de maio o quarto reunião de o comitê gestor de o Rede PNAFM ( COGEP ) . 0/05/2013Γreceber quarto comite gestor rede pnafm receber dia maio quarto comite gestor rede pnafm cogep
C:\3\DOUTORADO\NATUREZAS\1\3. NOTÍCIAS INSTITUCIONAIS\prefeitura\fazenda\2013-05-09-42-414.txtΓ"








   Agenda do secretário Marcos Cruz  Segunda-feira, 03 de junho de 2013    9/05/2013 
"Γ9/05/2013Γagenda de o secretário Marcos Cruz Segunda-feira , 03 de junho de 2013 9/05/2013Γsecretario marcos cruz junho
C:\3\DOUTORADO\NATUREZAS\1\3. NOTÍCIAS INSTITUCIONAIS\prefeitura\fazenda\2013-05-31-41-408.txtΓ"








   Agenda do secretário Marcos Cruz  Terça-feira, 11 de junho de 2013    0/06/2013 
"Γ0/06/2013Γagenda de o secretário Marcos Cruz terça-feira , 11 de junho de 2013 0/06/2013Γsecretario marcos cruz terca junho
C:\3\DOUTORADO\NATUREZAS\1\3. NOTÍCIAS INSTITUCIONAIS\prefeitura\fazenda\2013-06-01-40-399.txtΓ"








   Agenda do secretário Marcos Cruz  Segunda-feira, 24 de junho de 2013    1/06/2013 
"Γ1/06/2013Γagenda de o secretário Marcos Cruz Segunda-feira , 24 de junho de 2013 1/06/2013Γsecretario marcos cruz junho
C:\3\DOUTORADO\NATUREZAS\1\3. NOTÍCIAS INSTITUCIONAIS\prefeitura\fazenda\2013-06-01-40-400.txtΓ"








   Agenda do secretário Marcos Cruz  Sexta-feira, 21 de junho de 2013    1/06/2013 
"Γ1/06/2013Γagenda de o secretário Marcos Cruz Sexta-feira , 21 de junho de 2013 1/06/2013Γsecretario marcos cruz junho
C:\3\DOUTORADO\NATUREZAS\1\3. NOTÍCIAS INSTITUCIONAIS\prefeitura\fazenda\2013-06-01-41-407.txtΓ"








   Agenda do secretário Marcos Cruz  Quarta-feira, 12 de junho de 2013    1/06/2013 
"Γ1/06/2013Γagenda de o secretário Marcos Cruz quarta-feira , 12 de junho de 2013 1/06/2013Γsecretario marcos cruz junho
C:\3\DOUTORADO\NATUREZAS\1\3. NOTÍCIAS INSTITUCIONAIS\prefeitura\fazenda\2013-06-02-41-406.txtΓ"








   Agenda do secretário Marcos Cruz  Quinta-feira, 13 de junho de 2013    2/06/2013 
"Γ2/06/2013Γagenda de o secretário Marcos Cruz Quinta-feira , 13 de junho de 2013 2/06/2013Γsecretario marcos cruz junho
C:\3\DOUTORADO\NATUREZAS\1\3. NOTÍCIAS INSTITUCIONAIS\prefeitura\fazenda\2013-06-03-41-405.txtΓ"








   Agenda do secretário Marcos Cruz  Sexta-feira, 14 de junho de 2013    3/06/2013 
"Γ3/06/2013Γagenda de o secretário Marcos Cruz Sexta-feira , 14 de junho de 2013 3/06/2013Γsecretario marcos cruz junho
C:\3\DOUTORADO\NATUREZAS\1\3. NOTÍCIAS INSTITUCIONAIS\prefeitura\fazenda\2013-06-03-42-413.txtΓ"








   Agenda do secretário Marcos Cruz  Terça-feira, 04 de junho de 2013    3/06/2013 
"Γ3/06/2013Γagenda de o secretário Marcos Cruz terça-feira , 04 de junho de 2013 3/06/2013Γsecretario marcos cruz terca junho
C:\3\DOUTORADO\NATUREZAS\1\3. NOTÍCIAS INSTITUCIONAIS\prefeitura\fazenda\2013-06-04-40-398.txtΓ"








   Agenda do secretário Marcos Cruz  Terça-feira, 25 de junho de 2013    4/06/2013 
"Γ4/06/2013Γagenda de o secretário Marcos Cruz terça-feira , 25 de junho de 2013 4/06/2013Γsecretario marcos cruz terca junho
C:\3\DOUTORADO\NATUREZAS\1\3. NOTÍCIAS INSTITUCIONAIS\prefeitura\fazenda\2013-06-05-40-397.txtΓ"








   Agenda do secretário Marcos Cruz  Quarta-feira, 26 de junho de 2013    5/06/2013 
"Γ5/06/2013Γagenda de o secretário Marcos Cruz quarta-feira , 26 de junho de 2013 5/06/2013Γsecretario marcos cruz junho
C:\3\DOUTORADO\NATUREZAS\1\3. NOTÍCIAS INSTITUCIONAIS\prefeitura\fazenda\2013-06-05-42-411.txtΓ"








   Agenda do secretário Marcos Cruz  Quinta-feira, 06 de junho de 2013    5/06/2013 
"Γ5/06/2013Γagenda de o secretário Marcos Cruz Quinta-feira , 06 de junho de 2013 5/06/2013Γsecretario marcos cruz junho
C:\3\DOUTORADO\NATUREZAS\1\3. NOTÍCIAS INSTITUCIONAIS\prefeitura\fazenda\2013-06-05-42-412.txtΓ"








   Agenda do secretário Marcos Cruz  Quarta-feira, 05 de junho de 2013    5/06/2013 
"Γ5/06/2013Γagenda de o secretário Marcos Cruz quarta-feira , 05 de junho de 2013 5/06/2013Γsecretario marcos cruz junho
C:\3\DOUTORADO\NATUREZAS\1\3. NOTÍCIAS INSTITUCIONAIS\prefeitura\fazenda\2013-06-06-40-396.txtΓ"








   Agenda do secretário Marcos Cruz  Quinta-feira, 27 de junho de 2013    6/06/2013 
"Γ6/06/2013Γagenda de o secretário Marcos Cruz Quinta-feira , 27 de junho de 2013 6/06/2013Γsecretario marcos cruz junho
C:\3\DOUTORADO\NATUREZAS\1\3. NOTÍCIAS INSTITUCIONAIS\prefeitura\fazenda\2013-06-07-40-395.txtΓ"








   Agenda do secretário Marcos Cruz  Sexta-feira, 28 de junho de 2013    7/06/2013 
"Γ7/06/2013Γagenda de o secretário Marcos Cruz Sexta-feira , 28 de junho de 2013 7/06/2013Γsecretario marcos cruz junho
C:\3\DOUTORADO\NATUREZAS\1\3. NOTÍCIAS INSTITUCIONAIS\prefeitura\fazenda\2013-06-07-41-404.txtΓ"








   Agenda do secretário Marcos Cruz  Segunda-feira, 17 de junho de 2013    7/06/2013 
"Γ7/06/2013Γagenda de o secretário Marcos Cruz Segunda-feira , 17 de junho de 2013 7/06/2013Γsecretario marcos cruz junho
C:\3\DOUTORADO\NATUREZAS\1\3. NOTÍCIAS INSTITUCIONAIS\prefeitura\fazenda\2013-06-07-41-410.txtΓ"








   Agenda do secretário Marcos Cruz  Sexta-feira, 07 de junho de 2013    7/06/2013  
 
"Γ7/06/2013Γagenda de o secretário Marcos Cruz Sexta-feira , 07 de junho de 2013 7/06/2013Γsecretario marcos cruz junho
C:\3\DOUTORADO\NATUREZAS\1\3. NOTÍCIAS INSTITUCIONAIS\prefeitura\fazenda\2013-06-08-40-394.txtΓ"








   Agenda do secretário Marcos Cruz  Segunda-feira, 1º de julho de 2013    8/06/2013 
"Γ8/06/2013Γagenda de o secretário Marcos Cruz Segunda-feira , 1º de julho de 2013 8/06/2013Γsecretario marcos cruz julho
C:\3\DOUTORADO\NATUREZAS\1\3. NOTÍCIAS INSTITUCIONAIS\prefeitura\fazenda\2013-06-08-41-402.txtΓ"








   Agenda do secretário Marcos Cruz  Quarta-feira, 19 de junho de 2013    8/06/2013 
"Γ8/06/2013Γagenda de o secretário Marcos Cruz quarta-feira , 19 de junho de 2013 8/06 /2013Γsecretario marcos cruz junho
C:\3\DOUTORADO\NATUREZAS\1\3. NOTÍCIAS INSTITUCIONAIS\prefeitura\fazenda\2013-06-08-41-403.txtΓ"








   Agenda do secretário Marcos Cruz  Terça-feira, 18 de junho de 2013    8/06/2013 
"Γ8/06/2013Γagenda de o secretário Marcos Cruz terça-feira , 18 de junho de 2013 8/06 /2013Γsecretario marcos cruz terca junho
C:\3\DOUTORADO\NATUREZAS\1\3. NOTÍCIAS INSTITUCIONAIS\prefeitura\fazenda\2013-06-09-41-401.txtΓ"








   Agenda do secretário Marcos Cruz  Quinta-feira, 20 de junho de 2013    9/06/2013 
"Γ9/06/2013Γagenda de o secretário Marcos Cruz Quinta-feira , 20 de junho de 2013 9/06/2013Γsecretario marcos cruz junho
C:\3\DOUTORADO\NATUREZAS\1\3. NOTÍCIAS INSTITUCIONAIS\prefeitura\fazenda\2013-06-09-41-409.txtΓ"








   Agenda do secretário Marcos Cruz  Segunda-feira, 10 de junho de 2013    9/06/2013 
"Γ9/06/2013Γagenda de o secretário Marcos Cruz Segunda-feira , 10 de junho de 2013 9/06/2013Γsecretario marcos cruz junho
C:\3\DOUTORADO\NATUREZAS\1\3. NOTÍCIAS INSTITUCIONAIS\prefeitura\fazenda\2013-06-30-38-373.txtΓ"








   Agenda do secretário Marcos Cruz  Quarta-feira, 31 de julho de 2013    0/07/2013 
"Γ0/07/2013Γagenda de o secretário Marcos Cruz quarta-feira , 31 de julho de 2013 0/07/2013Γsecretario marcos cruz julho
C:\3\DOUTORADO\NATUREZAS\1\3. NOTÍCIAS INSTITUCIONAIS\prefeitura\fazenda\2013-06-30-38-374.txtΓ"








   Agenda do secretário Marcos Cruz  Terça-feira, 30 de julho de 2013    0/07/2013 
"Γ0/07/2013Γagenda de o secretário Marcos Cruz terça-feira , 30 de julho de 2013 0/07/2013Γsecretario marcos cruz terca julho
C:\3\DOUTORADO\NATUREZAS\1\3. NOTÍCIAS INSTITUCIONAIS\prefeitura\fazenda\2013-06-30-39-387.txtΓ"








   Agenda do secretário Marcos Cruz  Quarta-feira, 10 de julho de 2013    0/07/2013 
"Γ0/07/2013Γagenda de o secretário Marcos Cruz quarta-feira , 10 de julho de 2013 0/07/2013Γsecretario marcos cruz julho
C:\3\DOUTORADO\NATUREZAS\1\3. NOTÍCIAS INSTITUCIONAIS\prefeitura\fazenda\2013-06-30-39-388.txtΓ"








